Area/INDICATOR,Census Population (2011),"Median House Price, (£) (2011)",New Homes (net) (2011/12),"Rented from Private landlord, (2011 Census) %"
City of London,7400,465000,20,35.9
Barking and Dagenham,185900,170000,350,17.7
Barnet,356400,325000,2110,25.6
Bexley,232000,215000,200,11.4
Brent,311200,300000,560,30.1
Bromley,309400,275000,580,13.3
Camden,220300,480000,370,32.2
Croydon,363400,220000,710,21
Ealing,338400,293000,690,27.5
Enfield,312500,240000,300,22.2
Greenwich,254600,249950,1320,19.8
Hackney,246300,312000,1160,29
Hammersmith and Fulham,182500,464250,470,31.7
Haringey,254900,305000,1280,31.5
Harrow,239100,293500,470,21.7
Havering,237200,220000,40,10.6
Hillingdon,273900,249950,990,18.1
Hounslow,254000,250000,580,23.4
Islington,206100,397725,1220,27
Kensington and Chelsea,158700,795000,100,35.8
Kingston upon Thames,160100,299950,220,22.5
Lambeth,303100,310000,850,29.3
Lewisham,275900,240000,1190,24.3
Merton,199700,295000,510,24.8
Newham,308000,219000,910,34.1
Redbridge,279000,250000,530,22.9
Richmond upon Thames,187000,420000,210,21.8
Southwark,288300,322000,1050,23.7
Sutton,190100,233000,590,15.9
Tower Hamlets,254100,300000,2880,32.6
Waltham Forest,258200,232000,500,25.9
Wandsworth,307000,390000,980,31.7
City of Westminster,219400,601250,930,39.7
